2024-05-17 10:39:50.064 [info] Log level: Info
2024-05-17 10:39:50.064 [info] Validating found git in: "git"
2024-05-17 10:39:50.064 [info] Using git "2.45.1" from "git"
2024-05-17 10:39:50.064 [info] > git rev-parse --show-toplevel [55ms]
2024-05-17 10:39:50.064 [info] > git rev-parse --show-toplevel [1ms]
2024-05-17 10:39:50.065 [info] > git rev-parse --show-toplevel [1ms]
2024-05-17 10:39:50.069 [info] > git rev-parse --show-toplevel [2ms]
2024-05-17 10:39:50.082 [info] > git rev-parse --show-toplevel [6ms]
2024-05-17 10:39:50.088 [info] > git rev-parse --show-toplevel [2ms]
2024-05-17 10:39:50.094 [info] > git rev-parse --show-toplevel [1ms]
2024-05-17 10:39:50.391 [info] > git rev-parse --show-toplevel [1ms]
2024-05-17 10:39:50.954 [info] > git rev-parse --show-toplevel [26ms]
2024-05-17 10:39:50.967 [info] > git rev-parse --show-toplevel [2ms]
2024-05-17 10:39:50.984 [info] > git rev-parse --show-toplevel [1ms]
2024-05-17 10:39:51.104 [info] > git rev-parse --show-toplevel [4ms]
2024-05-17 10:39:52.203 [info] > git rev-parse --show-toplevel [2ms]
2024-05-17 10:39:52.585 [info] > git rev-parse --show-toplevel [4ms]
2024-05-17 10:39:52.593 [info] > git rev-parse --show-toplevel [1ms]
2024-05-17 10:39:52.600 [info] > git rev-parse --show-toplevel [1ms]
2024-05-17 10:39:52.682 [info] > git rev-parse --show-toplevel [1ms]
2024-05-17 10:39:52.690 [info] > git rev-parse --show-toplevel [1ms]
2024-05-17 10:39:52.698 [info] > git rev-parse --show-toplevel [2ms]
2024-05-17 10:39:52.704 [info] > git rev-parse --show-toplevel [1ms]
2024-05-17 10:39:52.863 [info] > git rev-parse --show-toplevel [1ms]
2024-05-17 10:39:52.867 [info] > git rev-parse --show-toplevel [1ms]
2024-05-17 10:39:53.239 [info] > git rev-parse --show-toplevel [6ms]
2024-05-17 10:39:56.251 [info] > git rev-parse --show-toplevel [2ms]
