2024-05-14 12:00:43.836 [info] Log level: Info
2024-05-14 12:00:43.836 [info] Validating found git in: "git"
2024-05-14 12:00:43.836 [info] Using git "2.45.0" from "git"
2024-05-14 12:00:43.836 [info] > git rev-parse --show-toplevel [1ms]
2024-05-14 12:00:43.836 [info] > git rev-parse --show-toplevel [1ms]
2024-05-14 12:00:43.836 [info] > git rev-parse --show-toplevel [1ms]
2024-05-14 12:00:43.836 [info] > git rev-parse --show-toplevel [1ms]
2024-05-14 12:00:44.296 [info] > git rev-parse --show-toplevel [49ms]
2024-05-14 12:00:44.361 [info] > git rev-parse --show-toplevel [2ms]
2024-05-14 12:00:44.421 [info] > git rev-parse --show-toplevel [47ms]
2024-05-14 12:00:44.742 [info] > git rev-parse --show-toplevel [9ms]
2024-05-14 12:00:44.935 [info] > git rev-parse --show-toplevel [2ms]
2024-05-14 12:02:49.104 [info] > git rev-parse --show-toplevel [1ms]
